Right sensor: 1.029967637032025, Front sensor: 0.575, 
Right sensor: 0.6185300767905196, Front sensor: 0.98858125367221, 
Right sensor: 0.9720497584390507, Front sensor: 0.8582712119296498, 
Right sensor: 0.6703879120739155, Front sensor: 1.0082814228021295, 
Right sensor: 1.0627941469453468, Front sensor: 1.0090430114431996, 
Right sensor: 1.069280340104998, Front sensor: 0.5883879250096828, 
Right sensor: 0.6819216800083817, Front sensor: 0.9779446000129074, 
Right sensor: 0.9723883932809546, Front sensor: 0.7435210685764365, 
Right sensor: 0.6113172879573556, Front sensor: 1.1095813535761616, 
Right sensor: 1.0258611434423204, Front sensor: 1.0366889975689935, 
Right sensor: 1.1291736921779643, Front sensor: 0.6289768416520404, 
Right sensor: 0.7743102257214063, Front sensor: 0.9734727999883833, 
Right sensor: 0.9784993064713833, Front sensor: 0.6605591444138803, 
Right sensor: 0.5796036227739887, Front sensor: 1.0574377882495594, 
Right sensor: 1.0015263823674554, Front sensor: 1.0786889573050533, 
Right sensor: 0.9512684067181032, Front sensor: 0.697097096148371, 
Right sensor: 0.9003177461051997, Front sensor: 0.9746616474814295, 
Right sensor: 0.9911340582338494, Front sensor: 0.6059590616391263, 
Right sensor: 0.575111911755072, Front sensor: 1.022964135499226, 
Right sensor: 0.9861723623711137, Front sensor: 1.1063101001976532, 
Right sensor: 0.8121248027275275, Front sensor: 0.7947259740590985, 
Right sensor: 1.0698680824250606, Front sensor: 0.9816801603204263, 
Right sensor: 1.0119338618961902, Front sensor: 0.5787105551191072, 
Right sensor: 0.597844667399993, Front sensor: 1.0003078075574212, 
Right sensor: 0.9777827989074491, Front sensor: 0.9276375876601934, 
Right sensor: 0.7091917810479175, Front sensor: 0.9271670313861801, 
Right sensor: 1.0829903927013251, Front sensor: 0.9954122895395504, 
Right sensor: 1.0438938818008947, Front sensor: 0.578750757863571, 
Right sensor: 0.6477800090180761, Front sensor: 0.986183188091472, 
Right sensor: 0.97534827579465, Front sensor: 0.7949233037363421, 
Right sensor: 0.6364218771076401, Front sensor: 1.10555511761047, 
Right sensor: 1.037965505874649, Front sensor: 1.0176875516689552, 
Right sensor: 1.0923390254983496, Front sensor: 0.6060475259444499, 
Right sensor: 0.7256700057427184, Front sensor: 0.9787733475571405, 
Right sensor: 0.9785985493847585, Front sensor: 0.6971012898719668, 
Right sensor: 0.5914007147620881, Front sensor: 1.076013629540557, 
Right sensor: 1.0081688204822956, Front sensor: 1.0518086777349736, 
Right sensor: 1.0365435317394673, Front sensor: 0.6606120122362864, 
Right sensor: 0.8344390487608004, Front sensor: 0.9772060059758294, 
Right sensor: 0.9879342588475846, Front sensor: 0.6288937873283471, 
Right sensor: 0.5735867774788261, Front sensor: 1.0340144734394838, 
Right sensor: 0.9888263656739196, Front sensor: 1.1036580898051205, 
Right sensor: 0.8756154413003039, Front sensor: 0.7434318138110271, 
Right sensor: 0.9810534892616347, Front sensor: 0.9813250080627032, 
Right sensor: 1.0045278424955257, Front sensor: 0.588316624853703, 
Right sensor: 0.5829984741734999, Front sensor: 1.0062164668441091, 
Right sensor: 0.9772521838015943, Front sensor: 1.0088944929902557, 
Right sensor: 0.7559593470511238, Front sensor: 0.8579428964551904, 
Right sensor: 1.117347307409597, Front sensor: 0.9916506043601577, 
Right sensor: 1.030638760096048, Front sensor: 0.5750008727844614, 
Right sensor: 0.6195804425938793, Front sensor: 0.9882865217208244, 
Right sensor: 0.9719989140977973, Front sensor: 0.8554844386918589, 
Right sensor: 0.6688567295432267, Front sensor: 1.012021546264309, 
Right sensor: 1.0618496358828629, Front sensor: 1.009511111935049, 
Right sensor: 1.070296289224036, Front sensor: 0.5889624716041373, 
Right sensor: 0.6835584788071174, Front sensor: 0.9777899060547337, 
Right sensor: 0.9724562134180441, Front sensor: 0.7414645387376684, 
Right sensor: 0.610369111392266, Front sensor: 1.1082404355448707, 
Right sensor: 1.0252353159803522, Front sensor: 1.0374053560278533, 
Right sensor: 1.1307367112113729, Front sensor: 0.6301244263677441, 
Right sensor: 0.7765934293620175, Front sensor: 0.9734400388783973, 
Right sensor: 0.9786941100095936, Front sensor: 0.6591237144045136, 
Right sensor: 0.579228229793125, Front sensor: 1.0565565387157962, 
Right sensor: 1.0011197963579266, Front sensor: 1.0797759755419771, 
Right sensor: 0.9478960883237798, Front sensor: 0.6988372037062897, 
Right sensor: 0.9033914638025717, Front sensor: 0.9747475771698927, 
Right sensor: 0.991480174126501, Front sensor: 0.6051043697623124, 
Right sensor: 0.5753102895913289, Front sensor: 1.0223801934810028, 
Right sensor: 0.985928941980487, Front sensor: 1.1019530716042154, 
Right sensor: 0.8096139493405089, Front sensor: 0.7971292522897, 
