Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 2, 
Left sensor: 2, Front sensor: 1, 
Left sensor: 2, Front sensor: 1, 
